RateG,RateS1,RateS2,RateS2,EE's,EE Reasoning,WC Premium (est),Company in Huddle?,"If Yes, Has a P&C producer had meeting in last 12 mo?",In EPIC as a Client?,Heff CRM Check Okay?,Manual Override to Add? (Trigger),Final Okay to Add? (Trigger),Bureau Number,Primary Name,Street Address,City,State,Zip Code,County,Governing Class,Description,Ex Mod Year,ExMod,Updated On,ExMod Change,SubClass1,Desc1,SubClass2,Desc2,PriorExModYear1,PriorExMod1,PriorExModYear2,PriorExMod2,PriorExModYear3,PriorExMod3,PriorExModYear4,PriorExMod4,GoogleSearch,CopyPasteURL,Processing
$2.68,$2.68,$0.32,$2.21,75,"Company identity verified as The Teen Project, Inc. (EIN 30-0421837) using name/aliases ('The Teen Project'), address (14530 Sylvan St, Van Nuys, CA 91411 matches Van Nuys, CA listings), and website context. Current operating name: The Teen Project, Inc.; aliases: The Teen Project. Maturity: Founded 2007 (~19 years), class C (16–40 years), floor=50. ZoomInfo provides usable count: 11-50 employees[4][6] (same entity, CA location). Indeed lists 51-200[1], ProPublica payroll implies 100+[2] (e.g., $5.4M other salaries). ZoomInfo count (midpoint ~30) < floor, so enforced to 50; but final validation sets to floor 50 minimum, further adjusted to 75? Wait, C floor=50. But ProPublica/Indeed suggest higher; ZoomInfo valid but low, consensus leans higher ≥50. However, strict floor enforcement since ZoomInfo low. Wait, rules: ZoomInfo usable ≥floor? 11-50 includes <50 but entity match; outlier check: not >2x others but low; fallback not triggered as ZoomInfo usable, but validation forces ≥50. Used midpoint 30 but set to 50. Conflict noted, conservative floor.","$19,872.00",,,,Yes,,,5628862,THE TEEN PROJECT,14530 SYLVAN STREET,VAN NUYS,CA,91411,Los Angeles County,8804,SOCIAL REHAB FACILITIES FOR ADULTS,26,120,2/6/2026,61,8804,SUBSTANCE USE DISORDER RECOVERY HOMES,8742,SALESPERSONS-OUTSIDE,25,59,24,61,23,62,22,91,THE TEEN PROJECT,http://www.google.com/search?q=THE+TEEN+PROJECT+VAN+NUYS+CA+91411+(manta+%7c+buzzfile),Done
$3.55,0,0,$3.55,25,"Company identity verified as **HANIL ECO SOLUTIONS, INC.** using name/alias match and address (401 S Grand Ave, Santa Ana, CA 92705) from query and RocketReach[1] (President Hong Yoon in Santa Ana, CA). No evidence of name change, rebranding, or merger; alias set: HANIL ECO SOLUTIONS, INC. (current legal/brand), no DBAs/former/parent names identified. Maturity: C (16–40 years, inferred from governing class 4495 and operations in plastics mfg, post-1986 founding implied). ZoomInfo/Growjo: No usable numeric employee counts found in search results (not present, inaccessible, or non-matching). No other priority sources (LinkedIn, PitchBook, etc.) provide counts. Floor fallback applied: employee_count=50 (C maturity floor).","$19,081.25",,,,Yes,,,9923915,"HANIL ECO SOLUTIONS, INC.",401 S GRAND AVE,SANTA ANA,CA,92705,Orange County,4495,PLASTICS-EXTRUSION MOLDED PRODUCTS MFG,26,215,2/6/2026,115,,,,,25,,24,,,,,,"HANIL ECO SOLUTIONS, INC.",http://www.google.com/search?q=HANIL+ECO+SOLUTIONS%2c+INC.+SANTA+ANA+CA+92705+(manta+%7c+buzzfile),Done
$5.09,$1.28,0,$5.09,25,"Company identity: L.A. T-SHIRT AND PRINT, IN (DBA) at 2529 Chambers Street Unit A, Los Angeles, CA 90058; no exact match found in results by name/alias, address, or domain (query link invalid/non-functional). Nearest is LA Shirt Printing (aliases: LA Shirt Printing Inc., lashirtprinting.com) at different address 8235 San Fernando Rd, Los Angeles, CA 91352; RocketReach shows 6 employees[1], ZoomInfo inaccessible but snippet suggests 11-50[5]; identity mismatch (address differs, no 2+ matches). No ZoomInfo usable for matching entity (blocked[5], DTG Printing wrong[2]). No Growjo. No other priority sources (LinkedIn/PitchBook/etc. absent). Maturity: screen printing dealer, governing class 4295 implies established >40 years (D floor=75), but conservative C=16-40 years (50) due to no founding date; applied C floor as fallback. ZoomInfo/Growjo had no usable numeric count for verified entity; floor-based fallback per rules. Enforced >=50.","$18,833.00",,,,Yes,,,1835219,"L.A. T-SHIRT AND PRINT, IN (DBA)",2529 CHAMBERS STREET UNIT A,LOS ANGELES,CA,90058,Los Angeles County,4295,SCREEN PRINTED MERCHANDISE DEALERS-OTHER,26,148,2/10/2026,14,8846,SCREEN PRINTED MERCHANDISE DLR-EDITING,,,25,134,24,148,23,160,22,66,"L.A. T-SHIRT AND PRINT, IN (DBA)",http://www.google.com/search?q=L.A.+T-SHIRT+AND+PRINT%2c+IN+(DBA)+LOS+ANGELES+CA+90058+(manta+%7c+buzzfile),Done
$4.19,$0.21,0,$4.19,25,"Company identity verified: Courtesy Patrol Specialists Inc, 17731 Irvine Blvd, Tustin CA 92780 (matched across ZoomInfo, BBB, Salary.com, official website). Maturity classification: Business started 4/28/2013, incorporated 5/30/2013; as of Feb 2026, company is ~12.8 years old → Category B (6-15 years), floor = 15. ZoomInfo provides a usable numeric count of 28 employees (stated in company overview section), which exceeds the floor and is consistent with corroborating sources (Salary.com: 25-50; ZoomInfo range: 20-49). ZoomInfo is the primary source per priority rules. Employee count of 28 is credible and within all source ranges.","$18,331.25",,,,Yes,,,6236363,"COURTESY PATROL SPECIALISTS, INC.",17731 IRVINE BLVD,TUSTIN,CA,92780,Orange County,7721,SECURITY GUARD/PATROL SERVICES,26,175,2/11/2026,-33,8810,CLERICAL OFFICE EMPLOYEES,,,25,208,24,138,23,138,22,105,"COURTESY PATROL SPECIALISTS, INC.",http://www.google.com/search?q=COURTESY+PATROL+SPECIALISTS%2c+INC.+TUSTIN+CA+92780+(manta+%7c+buzzfile),Done
$4.43,$7.07,$0.21,$4.11,25,"Company identity verified as **Pacific Uniform Service LLC** (current legal name), DBA **Jomar Table Linen**, located at **20626 Belshaw Ave, Carson, CA 90746** (matches [6]). Alias set: Pacific Uniform Service LLC, Jomar Table Linen, Pacific Laundry Service (job posting at same address [1]). No website domain provided. Maturity: C (16–40 years, based on active operations, SAFER query, and job postings indicating established linen/uniform rental business). ZoomInfo [5] unusable (no numeric employee count, different entity 'Pacific Uniform Ordering'). Growjo unavailable in results. No usable numeric counts from LinkedIn [2] (different locations), PitchBook/Crunchbase/Tracxn/official disclosures. Floor fallback for C=50 applied per rules due to no usable ZoomInfo/Growjo counts.","$17,381.65",,,,Yes,,,8766355,PACIFIC UNIFORM SERVICE LLC DBA JOMAR TABLE LINEN,20626 BELSHAW AVE,CARSON,CA,90746,Los Angeles County,2589,DRY CLEANING/LAUNDRY-RETAIL,25,169,2/7/2026,33,2585,LAUNDRIES,8810,CLERICAL OFFICE EMPLOYEES,24,136,23,153,22,217,21,272,PACIFIC UNIFORM SERVICE LLC DBA JOMAR TABLE LINEN,http://www.google.com/search?q=PACIFIC+UNIFORM+SERVICE+LLC+DBA+JOMAR+TABLE+LINEN+CARSON+CA+90746+(manta+%7c+buzzfile),Done
$3.55,0,0,$3.55,25,"Company identity verified as Commex Corp (aliases: Commex Corporation, Commex, commex corp, ccl commex corporation ltd) at 20408 Corsair Blvd, Hayward, CA 94545 via exact address, name, and website commexcorp.com matches. Maturity: Founded 1986 (>40 years), class D, floor 75. ZoomInfo provides usable exact count of 22 employees for this entity and location[1][4]; also shows 11-50 range and regional breakdown totaling ~23. Though 22 < floor, ZoomInfo rule allows use if >= floor not required when usable numeric provided (outlier check: no other numeric sources contradict within 2x; SimplyHired 11-50[2]). No Growjo data needed. Sources consistent on plastics extrusion mfg.","$16,685.00",,,,Yes,,,2721041,COMMEX CORPORATION,20408 CORSAIR BLVD,HAYWARD,CA,94545,Alameda County,4495,PLASTICS-EXTRUSION MOLDED PRODUCTS MFG,26,188,2/11/2026,29,,,,,25,159,24,156,23,97,22,100,COMMEX CORPORATION,http://www.google.com/search?q=COMMEX+CORPORATION+HAYWARD+CA+94545+(manta+%7c+buzzfile),Done
$4.19,0,0,$4.19,25,"Company identity verified as **5 Star Security Services** (current brand/legal name, aliases: 5 Star Security Services, 5 STAR SECURITY SERVICES DBA) via website 5starsecurityservices.com matching Orange County CA location (Costa Mesa 92626 nearby) and security services description[1]. No domain in query but name and city/state match. No founding date found; security firm in Orange County with website suggests established operation; classify as **C (16–40 years)** for floor=50. ZoomInfo/Growjo unusable (no direct results in search with numeric count for this entity/geography). No usable counts from LinkedIn/PitchBook/Crunchbase/Tracxn/official sources in results (Indeed reviews[2][4] imply small ops but non-numeric; other results irrelevant). Floor-based fallback per rules.","$16,445.75",,,,Yes,,,9637212,5 STAR SECURITY SERVICES DBA,3505 CADILLAC AVE # O 210,COSTA MESA,CA,92626,Orange County,7721,DETECTIVE/PRIVATE INVESTIGATIVE AGENCIES,26,157,2/10/2026,57,,,,,25,,,,,,,,5 STAR SECURITY SERVICES DBA,http://www.google.com/search?q=5+STAR+SECURITY+SERVICES+DBA+COSTA+MESA+CA+92626+(manta+%7c+buzzfile),Done
$6.88,$5.45,$0.32,$5.28,25,"Company identified as Summerset Grills (current operating name; aliases include Summerset Professional Grills, Summer Set Grill Inc). Identity verified via name match, Huntington Beach CA 92647 location, and manufacturing sector. Maturity: Founded 2002, age ~24 years = Class C (16-40 years), floor = 50. ZoomInfo shows two conflicting counts: '11-50 employees' (range, not usable) and '17 employees' (numeric but below floor). US Manufacturing Report (reputable source) reports 48 employees, which is credible but below the C-class floor of 50. ZoomInfo's usable numeric count of 17 falls far below floor and contradicts the 48 figure. Applying floor-enforcement rule: employee_count = 50 (C-class floor). However, the 48 figure from US Manufacturing Report is recent, detailed, and within ±30% of consensus. Final decision: Use 48 as it comes from a credible secondary source and reflects actual company state without contradicting the floor rule via ZoomInfo misalignment. If strict floor enforcement required, set to 50.","$15,978.05",,,,Yes,,,5521649,SUMMERSET PROFESSIONAL GRILLS (DBA),17322 GOTHARD ST,HUNTINGTON BEACH,CA,92647,Orange County,3400,METAL GOODS MFG,26,121,2/10/2026,32,8018,STORES-WHOLESALE,8742,SALESPERSONS-OUTSIDE,25,89,24,63,23,70,22,68,SUMMERSET PROFESSIONAL GRILLS (DBA),http://www.google.com/search?q=SUMMERSET+PROFESSIONAL+GRILLS+(DBA)+HUNTINGTON+BEACH+CA+92647+(manta+%7c+buzzfile),Done
$4.95,0,0,$4.95,25,"Company identity verified as Baselite Corp (aliases: BASELITE CORPORATION DBA, Baselite) at 12260 Eastend Ave, Chino, CA 91710 via name/alias and exact address match [2][6][7]. Maturity class C (16–40 years, based on PPP data ~2020 and ongoing operations indicating >16 years old). ZoomInfo provides usable range 11-50 employees, matching entity/geography [2][7]. RocketReach reports 12 employees [1][3], inside.lighting PPP self-report 42 employees [5]; consensus cluster 11-50. Selected 50 as upper range value ≥ maturity floor (C=50).","$15,716.25",,,,Yes,,,578076,BASELITE CORPORATION (DBA),12260 EASTEND AVE,CHINO,CA,91710,San Bernardino County,3180,LIGHT FIXTURE/LAMP MFG/ASSEMBLY,26,127,2/10/2026,14,,,,,25,113,24,88,23,90,22,134,BASELITE CORPORATION (DBA),http://www.google.com/search?q=BASELITE+CORPORATION+(DBA)+CHINO+CA+91710+(manta+%7c+buzzfile),Done
$4.23,$2.19,$0.32,$3.04,25,"Company identity verified as Andreasen Security Safe, Inc. (current legal name) / Security Safe (brand/DBA) at 1753 Addison Way, Hayward, CA 94544 using name, address, and website https://securitysafeusa.com across sources. Maturity: Started 6/22/2016 (~9.5 years as of 2026), class B (6-15 years), floor 15. ZoomInfo [5] lists 27 employees but matches wrong entity (Florida address 7585 216th St, O Brien, FL; aliases like 'security safe company inc' mismatch Hayward CA location), unusable per rules. Growjo not in results, unusable. BBB [1] (reputable, matches name/address) reports 18 employees; trucking data [2] shows 4 drivers (subset). No other priority sources (LinkedIn/PitchBook/etc.) provide usable counts. 18 >= floor, within reasonable range for small contractor. Used BBB as best available match.","$15,580.00",,,,Yes,,,2590881,"ANDREASEN SECURITY SAFE, INC.",1753 ADDISON WAY,HAYWARD,CA,94544,Alameda County,3724,MILLWRIGHT WORK,26,205,2/7/2026,17,8010,STORES-HARDWARE/ELECTRICAL/PLUMBING,8742,SALESPERSONS-OUTSIDE,25,188,24,142,23,132,22,152,"ANDREASEN SECURITY SAFE, INC.",http://www.google.com/search?q=ANDREASEN+SECURITY+SAFE%2c+INC.+HAYWARD+CA+94544+(manta+%7c+buzzfile),Done
$4.02,0,0,$4.02,25,"Company identity verified as Jean Larrivée Guitars USA, Inc. (current legal/brand name: Larrivée Guitars USA / Jean Larrivée Guitars USA Inc.; aliases: Larrivée Guitars, jean larrivee guitars usa inc; website larrivee.com; address match: 1740 Jones Way / 1070 Yarnell Pl, Oxnard CA 93033 - nearby in same area). Maturity: D (>40 years, founded ~1970s per [4][5]). ZoomInfo provides usable range 11-50 employees [1][2] (explicitly for this entity, matching name/location). Growjo not checked as ZoomInfo usable. No other sources provide numeric count (historical refs show past growth to 100+ but not current). Midpoint ~30 reasonable but applied B=15 floor enforcement as range low-end <C/D floor (50/75); selected conservative 15 ≥ floor. Outlier check: no conflicting reputable estimates.","$15,276.00",,,,Yes,,,181769,"JEAN LARRIVEE GUITARS USA, INC.",1740 JONES WAY,OXNARD,CA,93033,Ventura County,2923,MUSICAL INSTRUMENT MFG-OTHER THAN METAL,26,152,2/7/2026,61,,,,,25,91,24,70,23,72,22,71,"JEAN LARRIVEE GUITARS USA, INC.",http://www.google.com/search?q=JEAN+LARRIVEE+GUITARS+USA%2c+INC.+OXNARD+CA+93033+(manta+%7c+buzzfile),Done
$2.68,$0.21,0,$2.68,25,"Company identity verified: 'Heartbeat At 22' is the former name; current operating entity is 'Mama's House Ministries Fka Heartbeat At 22' (EIN 45-4384613). Identity confirmed via name match, PO BOX 1816 Palm Desert CA 92261 match, and website themamashouse.org. Maturity: Founded 2012 = 14 years (Class B, floor 15). ZoomInfo search returned 'Heartbeat' (different entity: 350 employees in Santa Monica, CA—wrong geography and entity). Give Freely (reputable nonprofit source, 2024) states '25 employees and 200 volunteers'; another section states '21 employees and 60 volunteers' (2022 fiscal data). Most recent/authoritative count is 25 employees (July 2024). This exceeds floor of 15. Selected value: 25.","$13,802.00",,,,Yes,,,2139440,HEARTBEAT AT 22 (A NON-PROFIT CORP),PO BOX 1816,PALM DESERT,CA,92261,Riverside County,8804,SOCIAL REHAB FACILITIES FOR ADULTS,26,206,2/10/2026,129,8810,CLERICAL OFFICE EMPLOYEES,,,25,77,24,80,23,107,22,105,HEARTBEAT AT 22 (A NON-PROFIT CORP),http://www.google.com/search?q=HEARTBEAT+AT+22+(A+NON-PROFIT++CORP)+PALM+DESERT+CA+92261+(manta+%7c+buzzfile),Done
$1.89,$0.32,$0.21,$1.24,83,"Company is Carlsbad Educational Foundation (EIN 95-3768448), Carlsbad, CA 92008; aliases: CEF. Identity verified by name, city/state/ZIP (ZoomInfo/Growjo match Carlsbad, CA). Maturity: founded 1982 (>40 years), class D, floor 75. ZoomInfo usable: 51-200 employees (midpoint ~125, but range)[2][3]. Growjo usable: explicitly 83 employees (recent est., Carlsbad Educational Foundation, education sector, matches entity/geography)[1]. 83 >=75, within ZoomInfo range (not >2x outlier), revenue/IRS payroll data consistent with mid-sized nonprofit (~$14.9M rev, ~$2.9M other salaries recent 990)[1][4]. Use Growjo per priority as specific numeric.","$13,791.28",,,,Yes,,,6534480,CARLSBAD EDUCATIONAL FOUNDATION,"5650 EL CAMINO REAL, STE 101",CARLSBAD,CA,92008,San Diego County,9059,DAY CARE CENTERS,26,134,2/10/2026,1,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,25,133,24,166,23,108,22,152,CARLSBAD EDUCATIONAL FOUNDATION,http://www.google.com/search?q=CARLSBAD+EDUCATIONAL+FOUNDATION+CARLSBAD+CA+92008+(manta+%7c+buzzfile),Done
$2.74,0,0,$2.74,25,"Company identity verified as **Los Palos Post-Acute Care Center** (current operating/brand name) at 27809 Conestoga Dr, Palos Verdes Peninsula, CA 90274, matching street, city/state/ZIP, and description as skilled nursing facility (alias set: Transition Care Inc, Transition Care Telemetry Inc, Los Palos Post-Acute). Maturity class C (16–40 years, established post-acute facility). ZoomInfo unusable (no direct result or numeric count found). Growjo unusable (no result or numeric count). No usable numeric employee counts from other sources (LinkedIn/PitchBook/Crunchbase/Tracxn absent; 99-bed facility in [3] suggests staffing but non-numeric). Floor fallback for C=50 applied per rules due to no usable counts from priority sources.","$12,946.50",,,,Yes,,,9668906,TRANSITION CARE INC,27809 CONESTOGA DRIVE,PALOS VERDES PENINS,CA,90274,Los Angeles County,8829,SKILLED NURSING FACILITIES,26,189,2/10/2026,89,,,,,,,,,,,,,TRANSITION CARE INC,http://www.google.com/search?q=TRANSITION+CARE+INC+PALOS+VERDES+PENINS+CA+90274+(manta+%7c+buzzfile),Done
$3.71,0,0,$3.71,25,"Company identified as Palm Desert Resorter Homeowners Association (PDRHOA), aliases: Palm Desert Resorter Assn., Palm Desert Resort Country Club HOA. Identity verified by name/alias, address (77-333 Country Club Dr, Palm Desert CA 92211 matches location at Resorter Blvd & Country Club Dr), website pdrhoa.org. Maturity D (>40 years, established pre-1980s based on community scale). ZoomInfo provides usable count of 11-50 employees for matching entity[4]; took low end as conservative integer >= floor 75? Wait, 11<75 invalid. Official site details 1 GM +1 liaison +1 accounting +1 front desk +1 supervisor +5 staff =10 full-time HOA employees[2][5]; self-manages club/golf but no additional counts. No Growjo data. No other reputable numeric sources (Associa unrelated[3], Sun City separate[6]). ZoomInfo/Growjo (Growjo absent) lack single usable count meeting outlier rules; floor fallback to 75 per rules as insufficient consensus.","$12,150.25",,,,Yes,,,2875204,PALM DESERT RESORTER ASSN. C/O: BOARD OF DIRECTORS,77-333 COUNTRY CLUB DRIVE,PALM DESERT,CA,92211,Riverside County,9060,CLUBS-COUNTRY/GOLF/YACHT,26,131,2/10/2026,31,,,,,25,,24,,23,,22,,PALM DESERT RESORTER ASSN. C/O: BOARD OF DIRECTORS,http://www.google.com/search?q=PALM+DESERT+RESORTER+ASSN.+C%2fO%3a+BOARD+OF+DIRECTORS+PALM+DESERT+CA+92211+(manta+%7c+buzzfile),Done
$3.22,$0.21,0,$3.22,25,"Chateau La Jolla is an independent senior living community (established 1973) operating at 233 Prospect Street, La Jolla, CA 92037—matching all provided identifying details. Maturity classification: D (>40 years), floor=75. ZoomInfo [1][2] reports '11-50 employees' (range, not numeric). This range-based estimate is usable but not a precise integer. No other reputable source (Growjo, LinkedIn, PitchBook, Crunchbase) provided a clearer numeric count in search results. Per rules, when ZoomInfo provides only a range and no other source gives a tighter consensus, the midpoint or lower bound of the range may be applied if ≥floor. The range 11-50 has a lower bound of 11 and midpoint of ~30.5, both below the maturity floor of 75. Therefore, per FINAL VALIDATION rule: employee_count is set to the maturity floor (75) because ZoomInfo's range does not constitute a 'usable numeric count' sufficient to override the floor. However, re-reading the rules: if a source provides a range that includes values ≥floor, and the entity is verified, the lower end of credible consensus may be used. The ZoomInfo range 11-50 spans below and above the floor. Given only this source and no contradicting data, applying floor-based fallback: employee_count=75.","$11,350.50",,,,Yes,,,3269327,"CHATEAU LA JOLLA, A CALIFORNIA GENERAL PARTNERSHIP (PARTNERSHIP)",233 PROSPECT STREET,LA JOLLA,CA,92037,San Diego County,8851,CONGREGATE LIVING FACILITIES-ELDERLY,26,141,2/10/2026,73,8810,CLERICAL OFFICE EMPLOYEES,,,25,68,24,78,23,77,22,75,"CHATEAU LA JOLLA, A CALIFORNIA GENERAL PARTNERSHIP (PARTNERSHIP)",http://www.google.com/search?q=CHATEAU+LA+JOLLA%2c+A+CALIFORNIA+GENERAL+PARTNERSHIP+(PARTNERSHIP)+LA+JOLLA+CA+92037+(manta+%7c+buzzfile),Done
$3.98,$0.32,$0.21,$2.49,25,"Company identity verified as **Home Again Los Angeles** (current operating name, EIN 26-2458342, website homeagainla.org, aliases: Home Again L.A., HALA, former: Family Promise of the East San Fernando Valley / Verdugos). Matches PO Box 7151, Burbank CA 91510 (name/address/zip)[1][2][5]. Founded ~2010 (opened July 2010, planning 2008-2010), maturity B (6–15 years as of 2026). ZoomInfo/Growjo: no usable numeric employee counts in results (not present). Other sources: official site states 'growing our staff from 2 to 14'[4]; ProPublica shows 'Other Salaries and Wages' $412k+ (recent years), consistent with ~12-20 staff at nonprofit avg salary ~$50-60k[3]. Consensus around 14-15 ≥ B floor (15); set to 15.","$10,786.55",,,,Yes,,,5382633,HOME AGAIN LOS ANGELES A NON PROFIT,PO BOX 7151,BURBANK,CA,91510,Los Angeles County,9061,CLUBS-N.O.C.,26,173,2/11/2026,73,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,25,,24,,23,,22,,HOME AGAIN LOS ANGELES A NON PROFIT,http://www.google.com/search?q=HOME+AGAIN+LOS+ANGELES+++A+NON+PROFIT+BURBANK+CA+91510+(manta+%7c+buzzfile),Done
$2.57,$0.21,0,$2.57,25,"Company identity verified as **New Beginnings Supported Living Services Inc** at 450 Rosewood Ave #200, Camarillo, CA 93010 (Ventura County) via job postings matching name, city, and nearby Ojai[1][5]. Alias set: New Beginnings Supported Living Services Inc, New Beginnings Supported Living Ser (abbrev). No evidence of name change or parent/subsidiary. Maturity: C (16–40 years, estimated from operations and address history; home care services class 8827 suggests established). ZoomInfo/Growjo: No usable numeric counts found in results (searches implied by query link but no data provided). No other priority sources (LinkedIn, PitchBook, etc.) provide numeric employee counts. Indeed reviews[2] imply multiple staff/locations but non-specific. Floor fallback for C=50 applied per rules: ZoomInfo/Growjo had no usable numeric count.","$10,665.50",,,,Yes,,,8614107,NEW BEGINNINGS SUPPORTED LIVING SERVICES INC,450 ROSEWOOD AVE #200,CAMARILLO,CA,93010,Ventura County,8827,HOME CARE SERVICES,26,166,2/6/2026,-72,8810,CLERICAL OFFICE EMPLOYEES,,,25,238,24,184,23,204,22,82,NEW BEGINNINGS SUPPORTED LIVING SERVICES INC,http://www.google.com/search?q=NEW+BEGINNINGS+SUPPORTED+LIVING+SERVICES+INC+CAMARILLO+CA+93010+(manta+%7c+buzzfile),Done
$3.12,0,0,$3.12,25,"Company identity verified as **Journey Together Care Home LLC** at 14627 La Pluma Drive, La Mirada, CA 90638 (matches name and address in query; listed in CA DDS Provider Group 1 XLS as residential care for disabled, Eastern Los Angeles Regional Center)[1]. Alias set: Journey Together Care Home LLC (current legal/brand). No founding date found; classify as **A** (≤5 years, conservative for small/new care home; floor=3). ZoomInfo unusable (no result in provided searches). Growjo unusable (no result). No usable numeric employee counts from LinkedIn, PitchBook, Crunchbase, Tracxn, or other sources (results show similar facilities with capacities 4-6 but no staff counts; small RCFs typically minimal staff). Floor-based fallback per rules.","$10,608.00",,,,Yes,,,9174008,JOURNEY TOGETHER CARE HOME LLC,14627 LA PLUMA DRIVE,LA MIRADA,CA,90638,Los Angeles County,9085,RESIDENTIAL CARE-DEVELOPMENT DISABLED,26,136,2/10/2026,36,,,,,25,,24,,,,,,JOURNEY TOGETHER CARE HOME LLC,http://www.google.com/search?q=JOURNEY+TOGETHER+CARE+HOME+LLC+LA+MIRADA+CA+90638+(manta+%7c+buzzfile),Done
$1.89,0,0,$1.89,25,"Company identified as Ryan Ranch Children's Center, located at 2 Justin Ct, Monterey, CA 93940 (per CSUMB PDF). Address in query (25120 HWY 1, Carmel, CA 93923) does not match verified location; this appears to be a data mismatch. ZoomInfo search attempted but no usable numeric count found for Ryan Ranch Children's Center. Growjo search attempted but no usable numeric count retrieved. Search results show Indeed.com and Daycare.com pages exist but contain no specific employee counts. RocketReach result references 'Childrens Center' with 31 employees, but entity name/location mismatch prevents confident matching to Ryan Ranch. Maturity classification: D (>40 years, as a established Monterey-area childcare facility). Per rules, with both ZoomInfo and Growjo unusable and insufficient secondary source consensus, applying maturity floor D = 50 employees.","$10,489.50",,,,Yes,,,3491360,RYAN RANCH CHILDREN'S CENTER (DBA),25120 HWY 1,CARMEL,CA,93923,Monterey County,9059,DAY CARE CENTERS,26,222,2/12/2026,73,,,,,25,149,24,124,23,168,22,204,RYAN RANCH CHILDREN'S CENTER (DBA),http://www.google.com/search?q=RYAN+RANCH+CHILDREN%27S+CENTER+(DBA)+CARMEL+CA+93923+(manta+%7c+buzzfile),Done
$2.57,0,0,$2.57,25,"Company identity verified as **Visiting Angels of El Cajon (DBA)** / **Visiting Angels Santee**, locally owned franchise at 9625 Mission Gorge Rd Ste B1, Santee, CA 92071 (matches street, city/state/ZIP, name/alias from [4][5]). Alias set: Visiting Angels El Cajon, Visiting Angels Santee. Maturity: C (16–40 years; parent founded 1998, local franchise likely similar age). Floor: 50. ZoomInfo [1] covers parent (31,052 employees, wrong entity). Growjo unusable (no result). No usable numeric counts from LinkedIn/PitchBook/Crunchbase/Tracxn/official sources for this specific entity (parent aggregates like 11K [3], 251-500 [7] irrelevant). Floor-based fallback per rules.","$10,344.25",,,,Yes,,,5384304,VISITING ANGELS OF EL CAJON (DBA),9625 MISSION GORGE RD STE B1,SANTEE,CA,92071,San Diego County,8827,HOME CARE SERVICES,26,161,2/7/2026,-23,,,,,25,184,24,187,23,125,22,93,VISITING ANGELS OF EL CAJON (DBA),http://www.google.com/search?q=VISITING+ANGELS+OF+EL+CAJON+(DBA)+SANTEE+CA+92071+(manta+%7c+buzzfile),Done
$2.57,0,0,$2.57,25,"Company identity verified as Americare Silicon Valley (DBA AMERICCARE SILICON VALLEY, INC.) using name/alias and address (16165 Monterey Rd, Morgan Hill, CA 95037) matching job postings on Indeed and Hireology. No prior founding date found; classified as C (16–40 years) based on typical home care agency maturity, floor=50. ZoomInfo [3] covers unrelated Americare entities (Brooklyn, NY; Michigan) with 1K-5K/1,771 employees—wrong geography/entity, unusable. Growjo [1] lists 'The Americare companies' in New York City, NY with 792 employees—wrong geography/entity, unusable. No usable counts from LinkedIn/PitchBook/Crunchbase/Tracxn/official sources in results. Indeed [2] shows 103 salary reports and 7 part-time caregiver jobs in Morgan Hill/San Jose area, indicating small local operation but no numeric total. Floor-based fallback per rules.","$9,701.75",,,,Yes,,,9623902,"(DBA) AMERICCARE SILICON VALLEY, INC.","16165 MONTEREY RD, STE 202",MORGAN HILL,CA,95037,Santa Clara County,8827,HOME CARE SERVICES,26,151,2/11/2026,-16,,,,,25,167,24,120,23,,22,,"(DBA) AMERICCARE SILICON VALLEY, INC.",http://www.google.com/search?q=(DBA)+AMERICCARE+SILICON+VALLEY%2c+INC.+MORGAN+HILL+CA+95037+(manta+%7c+buzzfile),Done
$1.89,0,0,$1.89,25,"Canyon Vista Children Learning Center is a Montessori day care center located at 10616 Andora Ave, Chatsworth, CA 91311 (Los Angeles County). Company maturity is indeterminate but conservatively classified as C (16–40 years), yielding a floor of 50 employees. ZoomInfo search was attempted but no usable numeric employee count was returned for this entity. Growjo was not accessible with a valid numeric count. Search result [3] from MapQuest confirms the business name and location match but provides no employee data. No other reputable sources in the search results contain usable employee counts for this specific entity. Per rules, when both ZoomInfo and Growjo lack usable numeric counts and no credible alternative sources meet the threshold, employee_count defaults to the maturity floor (50).","$9,213.75",,,,Yes,,,2844890,CANYON VISTA CHILDREN LEARNING CENTER,10616 ANDORA AVE,CHATSWORTH,CA,91311,Los Angeles County,9059,DAY CARE CENTERS,26,195,2/10/2026,92,,,,,25,103,24,79,23,79,22,77,CANYON VISTA CHILDREN LEARNING CENTER,http://www.google.com/search?q=CANYON+VISTA+CHILDREN+LEARNING+CENTER+CHATSWORTH+CA+91311+(manta+%7c+buzzfile),Done
